Raison Sociale;SIREN;Année;Note;Structure;Nom UES;Entreprises UES (SIREN);Région;Département
sas;788913226;2019;96;Entreprise;;;Île-de-France;Seine-et-Marne
ANDRA;390199669;2020;89;Entreprise;;;Île-de-France;Hauts-de-Seine
ETPM SAS;622720878;2020;;Entreprise;;;Nouvelle-Aquitaine;Pyrénées-Atlantiques
PAULSTRA SNC;314397670;2020;89;Entreprise;;;Île-de-France;Paris
SEPRO ROBOTIQUE;399308428;2020;85;Entreprise;;;Pays de la Loire;Vendée
Valeo Service SAS;306486408;2020;88;Entreprise;;;Île-de-France;Seine-Saint-Denis
UES EGENCIA;380610543;2020;54;Unité Economique et Sociale (UES);;EGENCIA EUROPE (429669104);Île-de-France;Hauts-de-Seine
IDEA LOGISTIQUE;422149617;2020;64;Entreprise;;;Pays de la Loire;Loire-Atlantique
Jardiland SAS;306844622;2018;78;Unité Economique et Sociale (UES);;Jardiland Campus (453357402);Île-de-France;Val-de-Marne
WEYLCHEM LAMOTTE SAS;483623088;2020;94;Entreprise;;;Hauts-de-France;Oise
SA;388234650;2019;90;Entreprise;;;Auvergne-Rhône-Alpes;Rhône
Gima;394671820;2020;68;Entreprise;;;Hauts-de-France;Oise
SAS ROLLS-ROYCE CIVIL NUCLEAR;433681525;2020;92;Entreprise;;;Auvergne-Rhône-Alpes;Isère
ESSILOR INTERNATIONAL SAS;439769654;2020;94;Entreprise;;;Île-de-France;Val-de-Marne
McDonald's FRANCE SERVICES;401308358;2018;92;Entreprise;;;Île-de-France;Yvelines
VENCOREX;444187884;2020;83;Unité Economique et Sociale (UES);;VENCOREX HOLDING (504867300),CHLORALP (411129612);Auvergne-Rhône-Alpes;Rhône
SHARP BUSINESS SYSTEMS FRANCE;333321636;2020;;Entreprise;;;Occitanie;Haute-Garonne
BERNARD PAGES;560800401;2020;78;Entreprise;;;Occitanie;Haute-Garonne
Boehringer Ingelheim France;337280226;2020;89;Entreprise;;;Île-de-France;Paris
GROUPE VYV;532661832;2020;91;Entreprise;;;Île-de-France;Paris
IEPC;434447660;2020;;Entreprise;;;Île-de-France;Seine-Saint-Denis
Onet Technologies ND;381662774;2018;59;Entreprise;;;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône
Fives Maintenance;380065672;2020;76;Entreprise;;;Île-de-France;Seine-et-Marne
SAFRAN NACELLES;352050512;2020;89;Entreprise;;;Normandie;Seine-Maritime
UES VERYWEAR;318650272;2020;99;Unité Economique et Sociale (UES);;SEDEV (314515206),CEVIMOD (327323770),SNLC (523816189);Hauts-de-France;Nord
PAREXGROUP SA;342913191;2020;93;Entreprise;;;Île-de-France;Hauts-de-Seine
Crédit Agricole Alpes Provence;381976448;2020;92;Entreprise;;;Provence-Alpes-Côte d'Azur;Bouches-du-Rhône
ArcelorMittal Centres de Services;413935776;2020;88;Entreprise;;;Grand-Est;Marne
LACOSTE OPERATIONS;562880468;2020;96;Entreprise;;;Île-de-France;Paris
SAS LAUAK FRANCE;304464084;2020;85;Entreprise;;;Nouvelle-Aquitaine;Pyrénées-Atlantiques
Association loi 1901;323856641;2020;;Entreprise;;;Occitanie;Pyrénées-Orientales
Computacenter NS;408023398;2020;93;Entreprise;;;Île-de-France;Val-d'Oise
RIVIERE TRANSPORST;342926870;2020;87;Entreprise;;;Normandie;Calvados
GLOBECAST FRANCE;440186740;2020;85;Unité Economique et Sociale (UES);;GLOBECAST REPORTAGES (403334709);Île-de-France;Hauts-de-Seine
S.A.S. OLODIS;399170794;2019;94;Entreprise;;;Nouvelle-Aquitaine;Pyrénées-Atlantiques
GESTION INTERACTIVE DES BAGAGES EN CORRESPONDANCE;494673544;2020;86;Entreprise;;;Occitanie;Haute-Garonne
SAS APOLIDIS;331291518;2020;98;Entreprise;;;Bourgogne-Franche-Comté;Côte-d'Or
BDL Développement;428099022;2020;91;Unité Economique et Sociale (UES);;Bulle de Linge PACA (503008633),Bulle de Linge NORMANDIE (493485924);Normandie;Seine-Maritime
TCS;351987086;2020;89;Entreprise;;;Nouvelle-Aquitaine;Gironde
ETABLISSEMENT THIRARD;615780095;2020;88;Entreprise;;;Hauts-de-France;Somme
SPURGIN LEONHART;390105161;2020;;Entreprise;;;Grand-Est;Bas-Rhin
France DISTRIBUTION;318067923;2020;69;Unité Economique et Sociale (UES);;ARYZTA France (479752131),COUP DE PATES (402656094),GROUPE HUBERT LOGISTIQUE (534375514);Île-de-France;Seine-et-Marne
SAS LIANOUDIS;400149092;2020;83;Entreprise;;;Hauts-de-France;Pas-de-Calais
MUTUALITE FRANCAISE 42-43-63;775602436;2020;81;Entreprise;;;Auvergne-Rhône-Alpes;Loire
Pupilles de l'Enseignement Public de la Vienne PEP86;300536257;2020;88;Entreprise;;;Nouvelle-Aquitaine;Vienne
PARTEDIS CHAUFFAGE SANITAIRE;467200515;2020;71;Entreprise;;;Nouvelle-Aquitaine;Gironde
TNP CONSULTANTS;501450902;2020;85;Entreprise;;;Île-de-France;Hauts-de-Seine
Caisse primaire d'assurance maladie Vosges;775717325;2020;92;Entreprise;;;Grand-Est;Vosges
SA NOBLADIS;388231847;2020;80;Entreprise;;;Provence-Alpes-Côte d'Azur;Alpes-Maritimes
Hôpital Privé Sainte Marie;726920374;2020;84;Entreprise;;;Bourgogne-Franche-Comté;Saône-et-Loire
Association;775603764;2020;97;Entreprise;;;Auvergne-Rhône-Alpes;Haute-Loire
SAS CONVIVIO RCO;341067692;2020;94;Entreprise;;;Bretagne;Ille-et-Vilaine
hopital privé du Vert Galant;775691397;2020;86;Entreprise;;;Île-de-France;Seine-Saint-Denis
SAS TRANSPORTS JAMMET;418894630;2020;83;Entreprise;;;Nouvelle-Aquitaine;Vienne
SIGVARIS;384137857;2020;99;Entreprise;;;Auvergne-Rhône-Alpes;Loire
ARSEAA;775581218;2020;80;Entreprise;;;Occitanie;Haute-Garonne
GROUPE SAINT SAUVEUR;408090116;2020;;Entreprise;;;Grand-Est;Haut-Rhin
IDEA SERVICES ;492912589;2020;70;Entreprise;;;Pays de la Loire;Loire-Atlantique
JEAN ROUTHIAU;312613920;2019;89;Entreprise;;;Pays de la Loire;Vendée
LAMBERET SAS;511316291;2020;87;Entreprise;;;Auvergne-Rhône-Alpes;Ain
EMINENCE;350169124;2019;82;Entreprise;;;Occitanie;Gard
ABEILLE RUSH;333306801;2020;;Entreprise;;;Hauts-de-France;Nord
FONDATION COGNACQ-JAY;775657612;2020;88;Entreprise;;;Île-de-France;Paris
BERNARD TRUCKS;332011287;2020;;Entreprise;;;Auvergne-Rhône-Alpes;Ain
Menuiseries du Centre;582026282;2020;;Entreprise;;;Auvergne-Rhône-Alpes;Cantal
KÄRCHER SAS;775702673;2020;66;Entreprise;;;Île-de-France;Val-de-Marne
TRANSDEV OCCITANIE OUEST;301351433;2020;65;Entreprise;;;Occitanie;Haute-Garonne
Mutualité Française PACA SSAM;352098131;2020;88;Entreprise;;;Provence-Alpes-Côte d'Azur;Alpes-Maritimes
SKEMA Business School;783705841;2020;45;Entreprise;;;Hauts-de-France;Nord
WALOR VOUZIERS;844148734;2020;91;Entreprise;;;Grand-Est;Ardennes
LES COURRIERS DU MIDI;572047215;2020;;Entreprise;;;Occitanie;Hérault
DORAS;015851793;2020;;Entreprise;;;Bourgogne-Franche-Comté;Côte-d'Or
TRANSPORTS ALAINE;686950338;2020;;Entreprise;;;Bourgogne-Franche-Comté;Saône-et-Loire
ASSOCIATION MARIE HELENE;780816351;2020;75;Entreprise;;;Normandie;Eure
SOCARA;305635583;2020;94;Entreprise;;;Auvergne-Rhône-Alpes;Isère
SOLOC RABOTAGE;413808890;2020;;Unité Economique et Sociale (UES);;FRAISAVIA (531970556),TECHNOVIA (323998542);Pays de la Loire;Loire-Atlantique
ADAPEI NOUELLES COTES D'ARMOR;775568884;2020;98;Entreprise;;;Bretagne;Côtes-d'Armor
SECAFI;312938483;2020;94;Entreprise;;;Île-de-France;Paris
distribution sanitaire chauffage;572141885;2020;93;Entreprise;;;Hauts-de-France;Oise
SEENOVIA;786218974;2020;83;Entreprise;;;Pays de la Loire;Mayenne
BOUYGUES BATIMENT SUD EST;731620316;2020;82;Unité Economique et Sociale (UES);;LINKCITY SUD EST (343156154);Auvergne-Rhône-Alpes;Rhône
BOULANGERIE NEUHAUSER;638502963;2019;77;Entreprise;;;Grand-Est;Moselle
BENALU SAS;390099414;2018;;Entreprise;;;Hauts-de-France;Pas-de-Calais
AOAPAR;775675416;2020;;Entreprise;;;Provence-Alpes-Côte d'Azur;Alpes-Maritimes
Axiane Meunerie;808892749;2020;75;Unité Economique et Sociale (UES);;Dijon Céréales Meunerie (803158690);Centre-Val de Loire;Loiret
PAG SURVEILLANCE;813371465;2020;76;Entreprise;;;Auvergne-Rhône-Alpes;Puy-de-Dôme
SPIE FACILITIES;538700022;2020;94;Entreprise;;;Île-de-France;Seine-Saint-Denis
Polyclinique du Parc de Cholet;800543431;2020;84;Entreprise;;;Pays de la Loire;Maine-et-Loire
FRET SNCF;518697685;2020;94;Entreprise;;;Île-de-France;Hauts-de-Seine
URSSAF PICARDIE;753663277;2020;79;Entreprise;;;Hauts-de-France;Somme
COFRANETH LFC;414141648;2020;93;Entreprise;;;Île-de-France;Essonne
Yves Saint Laurent SAS;342547361;2020;75;Entreprise;;;Île-de-France;Paris
GIE des hôtels super économiques;444698500;2019;99;Entreprise;;;Île-de-France;Essonne
DIAC;702002221;2020;87;Unité Economique et Sociale (UES);;DIAC LOCATION (329892368);Île-de-France;Seine-Saint-Denis
COMPASS GROUP FRANCE;632041042;2020;94;Unité Economique et Sociale (UES);;SERVIREST (400319554),MEDIANCE (352751200);Île-de-France;Hauts-de-Seine
SPL STAP;318055043;2020;82;Entreprise;;;Nouvelle-Aquitaine;Pyrénées-Atlantiques
